appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1074180,Smart City Plan,Ambiera,Ambiera,,76,38,0,"0 .. 20,000",0,0,0,0,15.99,15.99,0,1
1150670,Sorcerer Lord,PSS,MIRROR Soft,,1,0,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,0
1172390,Anime Tanks Arena,Neko Cloud,Neko Cloud,,85,31,0,"0 .. 20,000",0,0,0,0,0.99,0.99,0,1
1146170,KingSim,Fuzzy Pixel Game Studio,Fuzzy Pixel Game Studio,,160,24,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,1
1182070,Majula Frontier: The Offense,EF Universe Games LLC,EF Universe Games LLC,,11,11,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
724260,Princess Maker Go!Go! Princess,"CFK Co., Ltd.",Bliss Brain,,79,45,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,3
1175550,Merge Towers,Sibling Rivalry Games,Sibling Rivalry Games,,0,2,0,"0 .. 20,000",0,0,0,0,3.99,3.99,0,0
1228410,WATCH / 透视,7OfUs,电钮组,,46,7,0,"0 .. 20,000",0,0,0,0,10.99,10.99,0,0
1233170,Utopia Colony,GridSky Software AS,GridSky Software AS,,69,28,0,"0 .. 20,000",0,0,0,0,16.99,16.99,0,0
1107050,人工智能 阿尔法猫-AI Alpha Cat,Mescaline's Wings,Mescaline's Wings,,48,57,0,"0 .. 20,000",0,0,0,0,4.99,4.99,0,0
1166310,Tactical Three Kingdoms (3 Kingdoms) - Strategy & War,Camex Games,Camex Games,,75,36,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
610160,Aeronautica Imperialis: Flight Command,Binary Planets,Green Man Gaming Publishing,,82,110,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1273720,SBX 5K,Shadowmatic Labs,Shadowmatic Labs,,9,6,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0,0
1276060,Fingertips  mountain  sea,"李淙, 指尖游道",指尖游道,,0,2,0,"0 .. 20,000",0,0,0,0,59.99,59.99,0,0
1277360,异界大陆,del,del,,0,1,0,"0 .. 20,000",0,0,0,0,24.99,24.99,0,0
1292180,Krush Kill ‘N Destroy 2: Krossfire,Beam Software,Ziggurat,,190,70,0,"0 .. 20,000",0,0,0,0,4.89,6.99,30,12
1285060,Winter Falling: Battle Tactics,"Rarykos, 7A Games","Rarykos, Kurki.games",,209,14,0,"0 .. 20,000",0,0,0,0,9.99,9.99,0,5
