appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1663220,Coffee Talk Episode 2: Hibiscus & Butterfly,Toge Productions,Toge Productions,,1418,27,0,"50,000 .. 100,000",0,0,0,0,11.99,14.99,20,38
1894430,Plan B: Terraform,Gaddy Games,Gaddy Games,,1649,151,0,"50,000 .. 100,000",0,0,0,0,11.99,11.99,0,66
1622900,Star Trek: Infinite,Nimble Giant Entertainment,Paradox Interactive,,1339,919,0,"50,000 .. 100,000",0,0,0,0,29.99,29.99,0,468
2624020,Parasomnum,Lara the Pitbull,Lara the Pitbull,,11,4,0,"50,000 .. 100,000",0,0,0,0,3.99,3.99,0,0
46340,Theatre of War 2: Africa 1943,Fulqrum Publishing,Fulqrum Publishing,,165,78,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,1
223430,Miner Wars 2081,Keen Software House,Keen Software House,,132,232,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
403980,World Ship Simulator,Odin Game Studio,Excalibur Publishing,,53,204,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,0
454180,CrazyCars3D,AneaGames,AneaGames,,143,69,0,"50,000 .. 100,000",0,0,0,0,2.99,2.99,0,0
517160,Richie's Plank Experience,Toast,Toast,,479,113,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,9
512410,69 Ways to Kill a Zombie,Wadup Games,Conglomerate 5,,40,30,0,"50,000 .. 100,000",0,0,0,0,0.49,0.99,51,0
547910,The Survey,Robert Gammon,Robert Gammon,,564,217,0,"50,000 .. 100,000",0,0,0,0,3.04,4.99,39,2
618750,Choose Wisely,ID Card,ID Card,,79,31,0,"50,000 .. 100,000",0,0,0,0,3.99,3.99,0,0
773580,Game Dev Studio,Explosive Squat Games,Explosive Squat Games,,530,93,0,"50,000 .. 100,000",0,0,0,0,2.49,9.99,75,7
833040,Hiveswap Friendsim,"What Pumpkin Games, Inc.",Fellow Traveller,,1181,94,0,"50,000 .. 100,000",0,0,0,0,12.99,12.99,0,6
839310,Signal Simulator,Blagovest Penev,Blagovest Penev,,758,150,0,"50,000 .. 100,000",0,0,0,0,9.99,19.99,50,4
830580,BattleBeasts,Oleg Shestoperov,Oleg Shestoperov,,11,44,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
821610,My Sunny Resort,upjers,upjers,,111,101,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,7
939330,Tailor Tales,Celianna,Pixanna,,731,34,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,44
469800,Evolution Board Game,North Star Digital Studios,North Star Games,,326,53,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,7
1057180,Border Officer,Cheesecake Dev,Cheesecake Dev,,674,502,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,4
613900,Museum of Other Realities,MOR Museum Inc.,MOR Museum Inc.,,349,31,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,2
1254360,街机捕鱼Arcade Fishing,Arcade Fishing,Arcade Fishing,,258,113,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,3
1272060,Premier Manager 02/03,ZOO Digital Publishing,Funbox Media Ltd,,8,5,0,"50,000 .. 100,000",0,0,0,0,0.74,2.99,75,0
1354830,Cat Cafe Manager,Roost Games,Freedom Games,,1687,233,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,28
1434610,Darkzone: Idle RPG,Capitanos,Capitanos,,83,49,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1455660,Out of the Park Baseball 22,Out of the Park Developments,Out of the Park Developments,,1425,234,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,113
1575520,Fruit Ninja VR 2,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,,54,15,0,"50,000 .. 100,000",0,0,0,0,18.74,24.99,25,2
1478340,Turbo Sliders Unlimited,Antti Mannisto,Antti Mannisto,,89,10,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,2
1967630,Survival: Fountain of Youth,Odinsoft Inc.,"Twin Sails Interactive, CE-Asia",,1456,200,0,"50,000 .. 100,000",0,0,0,0,22.99,22.99,0,377
2134770,SteamWorld Build,The Station,Thunderful Publishing,,279,82,0,"50,000 .. 100,000",0,0,0,0,26.99,29.99,10,1342
2309460,The Faceless,STuNT, STuNT,,6,0,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,0
322850,Pro Cycling Manager 2015,Cyanide Studio,Focus Home Interactive,,235,164,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,10
588690,"Peace, Death!",AZAMATIKA,AZAMATIKA,,1936,124,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,7
670500,RC Plane 3,FrozenPepper S.R.L,FrozenPepper S.R.L.,,165,89,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,5
807140,Marble Run 2D,PS Games,PS Games,,63,23,0,"50,000 .. 100,000",0,0,0,0,5.99,5.99,0,0
724250,Princess Maker 5,"CFK Co., Ltd.",Bliss Brain,,323,170,0,"50,000 .. 100,000",0,0,0,0,29.99,29.99,0,13
1191580,Nexomon,VEWO Interactive Inc.,VEWO Interactive Inc.,,1244,149,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,20
1087280,Out of the Park Baseball 21,Out of the Park Developments,Out of the Park Developments,,1539,136,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,60
1416240,夜永 Eternal Love,白露社,PeriScope Game,,800,35,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,3
990260,Collapse: A Political Simulator,Kremlingames,Kremlingames,,110,49,0,"50,000 .. 100,000",0,0,0,0,6.99,6.99,0,3
