appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
487120,Citadel: Forged with Fire,Blue Isle Studios,Blue Isle Publishing,,3949,1822,0,"200,000 .. 500,000",0,0,0,0,39.99,39.99,0,34
797410,Headsnatchers,IguanaBee,Iceberg Interactive,,810,752,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,2
959080,Unsung Warriors - Prologue,"Osarion, Mountaineer","Osarion, Mountaineer",,1319,70,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,1
13600,Prince of Persia: The Sands of Time,Kudosoft,Ubisoft,,2945,477,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,27
444220,Asteroid Bounty Hunter,EGAMER,SA Industry,,486,266,0,"200,000 .. 500,000",0,0,0,0,10.99,10.99,0,0
1130410,Cyber Hook,Blazing Stick,Graffiti Games,,2625,133,0,"200,000 .. 500,000",0,0,0,0,3.44,14.99,77,34
1123770,Curse of the Dead Gods,Passtech Games,Focus Entertainment,,6079,1092,0,"200,000 .. 500,000",0,0,0,0,6.99,19.99,65,158
1395560,Kandidatos,Shaikonina Games,Shaikonina Games,,3243,346,0,"200,000 .. 500,000",0,0,0,0,0.99,0.99,0,4
3020,Call of Juarez,Techland,Techland Publishing,,2496,595,0,"200,000 .. 500,000",0,0,0,0,1.99,9.99,80,45
289780,Requiem: Rise of the Reaver,"Gravity Interactive, Inc.","Gravity Interactive, Inc.",,553,272,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,22
1343620,Nemesis: Distress,"Awaken Realms, Ovid Works",Awaken Realms,,181,106,0,"200,000 .. 500,000",0,0,0,0,14.99,14.99,0,2
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Opus,Marvelous,,1242,197,0,"200,000 .. 500,000",0,0,0,0,9.99,9.99,0,2
285580,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games,,707,357,0,"200,000 .. 500,000",0,0,0,0,0.0,0.0,0,0
304530,Agents of Mayhem,Deep Silver Volition,Deep Silver,,2712,1899,0,"200,000 .. 500,000",0,0,0,0,29.99,29.99,0,7
556280,Neon Prism,EGAMER,SA Industry,,236,122,0,"200,000 .. 500,000",0,0,0,0,10.99,10.99,0,2
1563180,Internet Cafe Simulator 2,Cheesecake Dev,Cheesecake Dev,,7393,2676,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,135
2080690,Sunkenland,Vector3 Studio,Vector3 Studio,,10888,2040,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,2064
1766740,Choo-Choo Charles,Two Star Games,Two Star Games,,11763,1039,0,"200,000 .. 500,000",0,0,0,0,19.99,19.99,0,74
